observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
alobaid2026-14,1005571,Rhyneptesicus nasutus,exact,al-obaid-2026-saudi,"Table 7, Rhyneptesicus nasutus at Al Oqdah Water Falls, end_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Al Oqdah Water Falls,,,88,end_frequency,mean,45.8,44.0,50.0,kHz,sd,1.3,45.8 ± 1.3 (44.0-50.0),definition_unstated,"Table 7, Rhyneptesicus nasutus at Al Oqdah Water Falls; reported n=88 calls."
alobaid2026-14,1005571,Rhyneptesicus nasutus,exact,al-obaid-2026-saudi,"Table 7, Rhyneptesicus nasutus at Al Oqdah Water Falls, peak_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Al Oqdah Water Falls,,,88,peak_frequency,mean,46.7,43.9,52.6,kHz,sd,1.3,46.7 ± 1.3 (43.9-52.6),definition_unstated,"Table 7, Rhyneptesicus nasutus at Al Oqdah Water Falls; reported n=88 calls."
alobaid2026-14,1005571,Rhyneptesicus nasutus,exact,al-obaid-2026-saudi,"Table 7, Rhyneptesicus nasutus at Al Oqdah Water Falls, start_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Al Oqdah Water Falls,,,88,start_frequency,mean,47.1,43.9,54.8,kHz,sd,2.1,47.1 ± 2.1 (43.9-54.8),definition_unstated,"Table 7, Rhyneptesicus nasutus at Al Oqdah Water Falls; reported n=88 calls."
alobaid2026-2,1004770,Rhinopoma cystops,exact,al-obaid-2026-saudi,"Table 2, Rhinopoma cystops at Biljarashi, duration column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Biljarashi,,,46,duration,mean,4.2,3.9,7.3,ms,sd,1.8,4.2 ± 1.8 (3.9-7.3),definition_unstated,"Table 2, Rhinopoma cystops at Biljarashi; reported n=46 calls."
alobaid2026-2,1004770,Rhinopoma cystops,exact,al-obaid-2026-saudi,"Table 2, Rhinopoma cystops at Biljarashi, end_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Biljarashi,,,46,end_frequency,mean,31.1,24.9,36.0,kHz,sd,3.9,31.1 ± 3.9 (24.9-36.0),definition_unstated,"Table 2, Rhinopoma cystops at Biljarashi; reported n=46 calls."
alobaid2026-2,1004770,Rhinopoma cystops,exact,al-obaid-2026-saudi,"Table 2, Rhinopoma cystops at Biljarashi, peak_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Biljarashi,,,46,peak_frequency,mean,35.7,30.8,38.1,kHz,sd,1.7,35.7 ± 1.7 (30.8-38.1),definition_unstated,"Table 2, Rhinopoma cystops at Biljarashi; reported n=46 calls."
alobaid2026-2,1004770,Rhinopoma cystops,exact,al-obaid-2026-saudi,"Table 2, Rhinopoma cystops at Biljarashi, start_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Biljarashi,,,46,start_frequency,mean,36.5,36.0,38.1,kHz,sd,0.6,36.5 ± 0.6 (36.0-38.1),definition_unstated,"Table 2, Rhinopoma cystops at Biljarashi; reported n=46 calls."
alobaid2026-3,1004770,Rhinopoma cystops,exact,al-obaid-2026-saudi,"Table 2, Rhinopoma cystops at Al Buseerah, duration column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Al Buseerah,,,127,duration,mean,5.6,1.1,14.9,ms,sd,3.2,5.6 ± 3.2 (1.1-14.9),definition_unstated,"Table 2, Rhinopoma cystops at Al Buseerah; reported n=127 calls."
alobaid2026-3,1004770,Rhinopoma cystops,exact,al-obaid-2026-saudi,"Table 2, Rhinopoma cystops at Al Buseerah, end_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Al Buseerah,,,127,end_frequency,mean,32.9,31.3,34.2,kHz,sd,0.6,32.9 ± 0.6 (31.3-34.2),definition_unstated,"Table 2, Rhinopoma cystops at Al Buseerah; reported n=127 calls."
alobaid2026-3,1004770,Rhinopoma cystops,exact,al-obaid-2026-saudi,"Table 2, Rhinopoma cystops at Al Buseerah, peak_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Al Buseerah,,,127,peak_frequency,mean,34.8,32.3,36.0,kHz,sd,0.7,34.8 ± 0.7 (32.3-36.0),definition_unstated,"Table 2, Rhinopoma cystops at Al Buseerah; reported n=127 calls."
alobaid2026-3,1004770,Rhinopoma cystops,exact,al-obaid-2026-saudi,"Table 2, Rhinopoma cystops at Al Buseerah, start_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Al Buseerah,,,127,start_frequency,mean,34.2,32.3,36.0,kHz,sd,0.7,34.2 ± 0.7 (32.3-36.0),definition_unstated,"Table 2, Rhinopoma cystops at Al Buseerah; reported n=127 calls."
alobaid2026-4,1004769,Triaenops persicus,exact,al-obaid-2026-saudi,"Table 3, Triaenops persicus at As Saqeed Island, duration column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,As Saqeed Island,,,36,duration,mean,7.17,5.7,9.4,ms,sd,1.2,7.17 ± 1.2 (5.7-9.4),definition_unstated,"Table 3, Triaenops persicus at As Saqeed Island; reported n=36 calls."
alobaid2026-4,1004769,Triaenops persicus,exact,al-obaid-2026-saudi,"Table 3, Triaenops persicus at As Saqeed Island, end_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,As Saqeed Island,,,36,end_frequency,mean,70.3,66.7,78.4,kHz,sd,3.4,70.3 ± 3.4 (66.7-78.4),definition_unstated,"Table 3, Triaenops persicus at As Saqeed Island; reported n=36 calls."
alobaid2026-4,1004769,Triaenops persicus,exact,al-obaid-2026-saudi,"Table 3, Triaenops persicus at As Saqeed Island, peak_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,As Saqeed Island,,,36,peak_frequency,mean,75.9,74.1,78.4,kHz,sd,1.1,75.9 ± 1.1 (74.1-78.4),definition_unstated,"Table 3, Triaenops persicus at As Saqeed Island; reported n=36 calls."
alobaid2026-4,1004769,Triaenops persicus,exact,al-obaid-2026-saudi,"Table 3, Triaenops persicus at As Saqeed Island, start_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,As Saqeed Island,,,36,start_frequency,mean,75,72.7,78.4,kHz,sd,1.71,75 ± 1.71 (72.7-78.4),definition_unstated,"Table 3, Triaenops persicus at As Saqeed Island; reported n=36 calls."
alobaid2026-5,1004558,Asellia patrizii,exact,al-obaid-2026-saudi,"Table 3, Asellia patrizii at As Saqeed Island, duration column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,As Saqeed Island,,,290,duration,mean,4.9,1.6,10.7,ms,sd,2.9,4.9 ± 2.9 (1.6-10.7),definition_unstated,"Table 3, Asellia patrizii at As Saqeed Island; reported n=290 calls."
alobaid2026-5,1004558,Asellia patrizii,exact,al-obaid-2026-saudi,"Table 3, Asellia patrizii at As Saqeed Island, end_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,As Saqeed Island,,,290,end_frequency,mean,121.5,108.1,114.3,kHz,sd,12.8,121.5 ± 12.8 (108.1-114.3),suspect,"Table 3, Asellia patrizii at As Saqeed Island; reported n=290 calls. Source table prints EF mean 121.5 with range 108.1-114.3, an internal inconsistency retained verbatim and flagged suspect."
alobaid2026-5,1004558,Asellia patrizii,exact,al-obaid-2026-saudi,"Table 3, Asellia patrizii at As Saqeed Island, peak_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,As Saqeed Island,,,290,peak_frequency,mean,135.2,133,139,kHz,sd,2.4,135.2 ± 2.4 (133-139),definition_unstated,"Table 3, Asellia patrizii at As Saqeed Island; reported n=290 calls."
